Allele,pLDDT,pTM
B38_09,89.91174556213018,0.71
A26_03,89.32155425219942,0.71
B45_01,89.79136094674556,0.71
A01_06,89.15991202346041,0.71
C03_09,89.53538011695906,0.71
B57_03,89.87615384615384,0.71
B35_32,95.8296685082873,0.83
B54_18,89.72479289940829,0.71
C12_02,89.29812865497077,0.71
B51_03,89.7814201183432,0.71
C12_04,94.30384236453202,0.78
C03_135,95.97226519337018,0.83
B40_15,96.03508287292817,0.83
A03_08,89.37111436950147,0.71
B39_03,89.77097633136096,0.71
B40_14,95.41237569060773,0.83
B50_04,90.0835798816568,0.71
A24_03,89.16041055718475,0.71
B27_07,89.58248520710059,0.71
B56_03,89.82784023668638,0.71
B40_04,89.95357988165681,0.71
B39_24,89.94973372781065,0.71
B14_04,96.14734806629835,0.83
C01_02,88.93698830409356,0.71
B44_03,89.9330177514793,0.71
B15_24,90.13541420118342,0.71
A02_13,89.30375366568916,0.71
A03_27,96.58033149171271,0.83
A29_03,89.50155425219941,0.71
B35_27,89.8335798816568,0.71
B57_04,90.03452662721892,0.71
A11_02,89.0483284457478,0.71
B35_43,90.09961538461539,0.71
A02_22,89.40296187683285,0.71
B82_02,89.83937869822485,0.71
A29_11,89.39190615835777,0.71
A02_05,89.43633431085044,0.71
B15_04,90.08621301775148,0.71
B39_02,89.89476331360947,0.71
B51_08,89.84322485207102,0.71
A02_52,89.45249266862172,0.71
C01_04,89.13666666666666,0.71
A68_16,89.02727272727273,0.71
B51_33,96.26668508287293,0.83
B18_06,89.69576923076923,0.7
B35_03,89.96849112426035,0.71
B35_02,89.9260946745562,0.71
A01_02,88.92448680351906,0.71
A26_13,96.54762430939228,0.83
A11_12,88.98671554252199,0.71
A02_17,89.24718475073314,0.71
