,C12_05,B27_03,A69_01,B44_03,C03_02,A26_03,C15_02,B73_01,A68_01,B15_02,B40_06,B55_02,C08_02,B35_01,B27_05,A33_03,B08_02,A32_01,B07_05,C04_01,A02_14,C17_01,C03_15,B15_12,B58_01,B55_01,A02_05,B40_02,C12_02,C16_04,B58_02,B15_16,A66_01,A02_03,C12_04,B08_01,B35_03,B78_01,C14_02,A02_06,B46_01,A01_01,B54_01,A33_01,C18_01,B51_02,B07_02,A30_04,B45_01,B57_01,A74_01,A11_01,C05_01,B56_01,C01_02,C07_07,B44_02,B15_10,C08_01,B15_17,C03_07,A68_02,C16_01,A30_02,A23_01,A02_01,A02_04,A30_03,C06_02,B39_09,B48_01,B15_13,A30_01,B27_06,A02_17,B27_07,B15_18,B27_09,B15_09,B51_03,A02_02,A24_02,B42_01,B07_03,B15_01,B39_02,A29_02,C16_02,B27_04,B40_01,B39_01,B67_01,B53_01,A03_01,B15_03,A31_01,B51_01,A02_07,B57_02,B38_01,C07_02,B15_08,B27_02,B52_01,B37_01,A26_01,B14_02,C02_02,A26_02,B18_01
B40_06,16.089494396070645,14.163198453885316,14.532530613826555,10.47233463935737,15.083141029722652,17.23857932468383,14.225974827689818,12.268052688129991,16.110251236079247,12.540570007456836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B55_02,12.479870148384046,16.754244664896788,10.209427344947011,14.412621446291082,11.638755637054688,13.876147958710641,10.321102876866204,13.301198194372002,11.205324202071589,13.11657030766792,12.8287936913855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C08_02,9.208340993253316,17.420959429882995,12.415169675631299,14.712112500833742,7.822632733028952,12.766346160551436,5.733164632532494,16.7259743835166,13.426780979476787,14.14036323108326,14.537117552300888,11.327011004783419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B35_01,12.12367536829407,17.232034343363214,10.817596691920444,13.152748223139534,10.535814839482015,11.911085090974199,12.417655875251778,15.694685527237583,10.596458696497725,9.773927681572818,14.395241170606278,9.106205435357673,12.821032701322958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B27_05,17.193419083588974,0.42685641895747534,17.76731356192054,12.941096575371947,15.296910229923498,17.18832209217497,16.684467969025302,12.300808230718173,16.60894044345342,16.05451935620403,14.111013981384207,16.72966812976834,17.393442584147,17.19976025708932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A33_03,14.798226252330817,15.108645190052622,9.319971458217411,14.22386900484996,13.773634005543315,9.918792206009968,14.22631094352176,14.505443514919047,6.843749385194329,13.601928020084332,14.949451789749466,11.705591487038317,15.27003817192552,11.925916688047314,15.084975475408028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B08_02,15.163391317163793,14.966111211384224,14.000722712634534,14.988067074536412,14.168675420761284,15.300798475521034,14.444971309394806,14.286405724148308,13.953743632097687,13.68157143969255,14.21815576009786,11.878029581714243,14.629589076431312,12.81804662923436,14.945123471262644,12.945782821464874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A32_01,12.321708530933,16.013082818994796,10.938238593548956,13.4960719129098,11.69955397468914,11.756313132969991,11.794363370155992,17.582581396979307,8.992882923247977,15.28344510718436,14.974916944980937,12.303258327281325,13.023198683876434,11.95756659993681,15.960464047727125,9.30627542696582,15.287674282820136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B07_05,10.766029216753157,16.91648360978369,12.458621196470308,14.83801095972841,9.872772009511484,12.178903992342013,10.340954260547797,15.260456088879243,12.564633462818687,11.118168885888377,14.43001861269615,9.03697716728635,8.936931473574285,10.526394791843446,16.88288303974189,13.793176359409888,10.428831025369622,14.33979670917915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C04_01,10.756955026756485,15.675864441745063,13.639742385740739,14.783174975968532,10.059600137684994,13.76306665987602,7.93214768842613,15.666520087232756,14.413799100617425,14.498964311162835,13.900257678462458,13.01147599596177,7.175397656452982,14.652825853231896,15.656056152600568,14.521206030645336,12.596067694602068,14.04629865547844,10.232338989528476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_14,13.439946099403725,17.813784079385552,7.734683164158899,14.460596050724789,12.807190277124127,11.899704117960352,10.496510443537552,16.624449581445507,11.119037552649798,15.943075376878939,13.411451624014338,12.349971409133953,11.212043364542989,12.861511737248598,17.773872549615078,12.296688107145284,16.576126309795143,9.806369434787895,14.386591002913901,13.042851066992625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17_01,8.714652570695979,16.865814974944254,11.456507075188561,14.058295826195799,8.186548594935626,12.82056544618325,3.3960939934486776,16.264900805338012,12.860948577118831,14.341186136800177,14.086180317553435,10.625728754570673,4.873010942894226,12.554601838241586,16.834508291223067,14.46048304360575,14.56712358583702,12.036692797325076,10.207912223167321,7.495484918508857,10.17838071849239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C03_15,6.1889025684196906,15.23663945511856,13.193606508443954,13.291999718366888,3.403090269874064,11.70930806706563,6.8395217028303605,17.387718780787058,12.46828581641702,12.617353077608541,15.289088425916605,11.982342664609472,8.17872773783698,11.062638242268951,15.201314018816113,13.671899003555291,14.117896872052265,11.630891614816834,10.25666116784045,9.260462734950242,12.575643281137674,7.2159349640929085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B15_12,12.161296638556374,16.00754689154481,15.682779418450101,9.320122078596054,11.488381780294173,13.90100300103742,13.524192965941797,16.695917157333334,14.871016754894372,8.662475572939,12.267549629355257,14.950418018281038,13.145901687931909,12.651930671862818,15.948472646627476,15.787451210704019,15.54641192872314,14.788752558637459,12.792719138111556,13.646318506803196,15.392273716566526,13.724688431471602,11.90242086844907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B58_01,10.679918325563689,16.12914623177317,11.456754021596323,11.660625965756166,9.568344032230563,12.492958251969437,10.767389356876146,16.927732995141007,11.280517171174015,12.237036017925075,13.159661125515157,11.604705476825858,11.88355585668043,8.487379572017229,16.082860474012893,12.37425919732456,14.818580253414048,8.666895794252339,12.885010171384488,13.207733126054379,9.924597882268241,10.970611714491287,9.41486233032913,11.754764050369854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B55_01,11.170084564381646,17.19142485506524,11.492367703496166,15.006564049011619,10.339801510565772,12.555832737203268,9.042453724127922,14.20575081506593,11.978488185312878,12.070589335647592,13.835575079472484,5.109932631749284,9.618178461761328,10.136959757849194,17.170275231163412,12.51713204030043,11.957532833149545,13.110854376174684,6.562821498365531,11.483358134598152,13.392732703856208,9.544961631875585,10.715130380667537,13.767902812602149,12.489281307985909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
